,Unnamed: 0,countryname,rile,partyname,date
217,218,Israel,,Union of Israel,202103
218,219,Israel,,Sephardi Torah Guardians,202103
219,220,Israel,,Torah Flag,202103
220,221,Israel,,The Consolidation,202103
221,222,Israel,13.889,Israel is Our Home,202103
222,223,Israel,-13.985,New Hope,202103
223,224,Israel,4.143,Religious Zionist Party,202103
224,225,Israel,,United Arab List,202103
225,226,Armenia,-3.667,Armenia Alliance,202106
226,227,Armenia,3.089,I have honor,202106
227,228,Armenia,-17.359,Civil Contract,202106
228,229,Armenia,-3.226,Prosperous Armenia,202106
229,230,Croatia,-11.443,Restart Coalition,202007
230,231,Croatia,-17.493,Party with a First and Last Name - Smart - Focus,202007
231,232,Croatia,-28.213,We can!-political platform,202007
232,233,Croatia,-48.251,Workers' Front,202007
233,234,Croatia,-35.167,New Left,202007
234,235,Croatia,-36.232,People's Party - Reformists,202007
235,236,Croatia,-26.102,Bridge of Independent Lists,202007
236,237,Croatia,-2.137,Croatian Democratic Union,202007
237,238,Croatia,2.576,Croatian People’s Party - Liberal Democrats,202007
238,239,Croatia,14.238,Miroslav Škoro Homeland Movement,202007
239,240,Croatia,1.681,Independent Democratic Serbian Party,202007
240,241,Estonia,-13.426,Social Democratic PartyEstonia,201903
241,242,Estonia,-8.324,Estonian Center Party,201903
242,243,Estonia,-2.623,Estonian Reform Party,201903
243,244,Estonia,17.667,Pro Patria,201903
244,245,Estonia,31.818,Conservative People's Party of Estonia,201903
245,246,Georgia,-36.066,Georgian Labour Party,202010
246,247,Georgia,-28.396,Strategy Aghmashenebeli,202010
247,248,Georgia,-9.524,Try for Georgia,202010
248,249,Georgia,-7.615,Georgian Dream - Democratic Georgia,202010
249,250,Georgia,41.379,New Political Center - Girchi,202010
250,251,Georgia,0.822,European Georgia - Movement for Liberty,202010
251,252,Georgia,-21.98,United National Movement,202010
252,253,Georgia,-7.38,Alliance of Patriots of Georgia,202010
253,254,Lithuania,-31.361,Lithuanian Social Democratic Party,202010
254,255,Lithuania,-20.308,Social Democratic Labour Party of Lithuania,202010
255,256,Lithuania,-23.356,Labour PartyLithuania,202010
256,257,Lithuania,-13.723,Liberal Movement,202010
257,258,Lithuania,-10.984,Freedom Party,202010
258,259,Lithuania,-10.726,Homeland Union - Lithuanian Christian Democrats,202010
259,260,Lithuania,-17.241,Lithuanian Peasant and Green Union,202010
260,261,Lithuania,-3.139,Election Action of Lithuania’s Poles,202010
261,262,Moldova,-11.464,Electoral bloc NOW  Platform DA and PAS,201902
262,263,Moldova,-11.111,Party of Socialists of the Republic of Moldova,201902
263,264,Moldova,-20.0,Democratic Party of Moldova,201902
264,265,Moldova,0.379,Liberal Party,201902
265,266,Moldova,-20.0,Șor Party,201902
266,267,Montenegro,25.0,Peace is our Nation202008,202008
267,268,Montenegro,6.494,For the Future of Montenegro202008,202008
268,269,Montenegro,-2.747,Democratic Party of Socialists of Montenegro202008,202008
269,270,Montenegro,17.323,Social Democratic Party of Montenegro202008,202008
270,271,Montenegro,-31.868,United Reform Action202008,202008
271,272,Montenegro,-23.46,Social Democrats of Montenegro202008,202008
272,273,Montenegro,-11.33,Bosniak Party202008,202008
273,274,Montenegro,-5.842,Together!,202306
274,275,Montenegro,-12.245,Aleksa and Dritan – Count Bravely!,202306
275,276,Montenegro,,Albanian Forum,202306
276,277,Montenegro,,Albanian Alliance,202306
277,278,Montenegro,29.032,For the Future of Montenegro,202306
278,279,Montenegro,,Socialist People’s Party of Montenegro,202306
279,280,Montenegro,-14.676,Europe Now Movement,202306
280,281,Montenegro,,Croatian Civic Initative,202306
281,282,Montenegro,-3.383,Bosniak Party,202306
282,283,Poland,-28.177,The LeftPoland,201910
283,284,Poland,-17.282,Civic Coalition,201910
284,285,Poland,-13.447,Polish Coalition,201910
285,286,Poland,37.302,Confederation Liberty and Independence,201910
286,287,Poland,11.179,Law and Justice,201910
287,288,Poland,-20.664,Spring,201910
288,289,Poland,-3.019,German Minority,201910
289,290,Serbia,13.873,"Ivica Dačić –  Socialist Party of Serbia, United Serbia – Dragan Markovic Palma202006",202006
290,291,Serbia,-9.756,Aleksandar Vučić — For Our Children202006,202006
291,292,Serbia,46.104,Academician Muamer Zukorlic - Straight ahead - Party of Justice and Reconciliation (SPP) - Democratic Party of Macedonians (DPM)202006,202006
292,293,Serbia,-3.125,Serbian Partiotic Alliance202006,202006
293,294,Serbia,6.936,Alliance of Vojvodina Hungarians202006,202006
294,295,Serbia,33.696,Party of Democratic Action202006,202006
295,296,Serbia,,Party for Democratic Activity202006,202006
296,297,Serbia,-48.04,We must,202204
297,298,Serbia,-45.902,"Ivica Dačić –  Socialist Party of Serbia, United Serbia – Dragan Markovic Palma",202204
298,299,Serbia,-25.0,United for the Victory of Serbia,202204
299,300,Serbia,12.195,National Democratic Alternative,202204
300,301,Serbia,-13.374,Aleksandar Vučić — For Our Children,202204
301,302,Serbia,-17.895,Serbian Movement Dveri - Movement for the Restoration of the Kingdom of Seria,202204
302,303,Serbia,,Serbian Party Oathkeepers,202204
303,304,Serbia,-3.984,Alliance of Vojvodina Hungarians,202204
304,305,Serbia,,Justice and Reconciliation Party,202204
305,306,Serbia,,Party of Democratic Action,202204
306,307,Ukraine,-13.861,Opposition Platform - For Life,201907
307,308,Ukraine,-4.717,Opposition Bloc,201907
308,309,Ukraine,2.128,Servant of the People,201907
309,310,Ukraine,22.892,VoiceUkraine,201907
310,311,Ukraine,-23.377,All-Ukrainian Union ‘Fatherland',201907
311,312,Ukraine,25.0,European Solidarity,201907
312,313,South Korea,-42.008,Justice Party,202004
313,314,South Korea,-29.767,Democratic PartySouthKorea,202004
314,315,South Korea,-36.538,Open Democratic Party,202004
315,316,South Korea,-2.946,People Party,202004
316,317,South Korea,-8.178,United Future Party - including Future Korea Party,202004
317,318,Argentina,-32.366,Everyone's Front,201910
318,319,Argentina,-20.859,Federal Consensus,201910
319,320,Argentina,-0.862,Together for Change,201910
320,321,Chile,-28.704,Approve Dignity,202111
321,322,Chile,-19.015,New Social Pact,202111
322,323,Chile,-18.174,Chile we can do more,202111
323,324,Chile,3.136,Christian Social Front,202111
324,325,Chile,-39.276,Progressive PartyChile,202111
325,326,Chile,-16.187,Party of the People,202111
326,327,Panama,-23.621,Joining forces,201905
327,328,Panama,-18.237,Panama We Can Alliance,201905
328,329,Panama,-22.066,For a Good Return,201905
329,330,Panama,-24.473,Broad Front for Democracy,201905
330,331,Panama,-31.565,IndependentPanama,201905
331,332,Panama,-18.919,IndependentPanama,201905
332,333,Panama,-18.717,IndependentPanama,201905
333,334,Brazil,-12.844,Brazil of Hope,202210
334,335,Brazil,-12.75,Brazil for Everyone,202210
335,336,Brazil,12.316,For the Good of Brazil,202210
336,337,South Africa,-24.871,Economic Freedom Fighters,201905
337,338,South Africa,-21.924,African National Congress,201905
338,339,South Africa,-3.093,United Democratic Movement,201905
339,340,South Africa,-9.827,Good,201905
340,341,South Africa,-5.344,National Freedom Party,201905
341,342,South Africa,8.285,Democratic Alliance,201905
342,343,South Africa,-2.834,Congress of the People,201905
343,344,South Africa,12.5,African Christian Democratic Party,201905
344,345,South Africa,-6.771,African Transformation Movement,201905
345,346,South Africa,19.58,Freedom Front Plus,201905
346,347,South Africa,-6.579,Inkatha Freedom Party,201905
347,348,South Africa,-14.839,African Independent Congress,201905
